Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,Model,Fold
1.0,1.0,1.0,1.0,1.0,Logistic Regression,1
1.0,1.0,1.0,1.0,1.0,Logistic Regression,2
1.0,1.0,1.0,1.0,1.0,Logistic Regression,3
1.0,1.0,1.0,1.0,1.0,Logistic Regression,4
1.0,1.0,1.0,1.0,1.0,Logistic Regression,5
1.0,1.0,1.0,1.0,1.0,SVM,1
1.0,1.0,1.0,1.0,1.0,SVM,2
1.0,1.0,1.0,1.0,1.0,SVM,3
1.0,1.0,1.0,1.0,1.0,SVM,4
1.0,1.0,1.0,1.0,1.0,SVM,5
1.0,1.0,1.0,1.0,1.0,Random Forest,1
1.0,1.0,1.0,1.0,1.0,Random Forest,2
1.0,1.0,1.0,1.0,1.0,Random Forest,3
1.0,1.0,1.0,1.0,1.0,Random Forest,4
1.0,1.0,1.0,1.0,1.0,Random Forest,5
0.9344262295081968,0.8902439024390244,0.9146341463414634,0.8983739837398372,0.9234972677595628,XGBoost,1
1.0,1.0,1.0,1.0,1.0,XGBoost,2
0.9508196721311475,0.9471544715447153,0.9512195121951219,0.9414634146341464,0.9431693989071038,XGBoost,3
0.9344262295081968,0.9146341463414634,0.926829268292683,0.9097560975609755,0.925136612021858,XGBoost,4
0.9180327868852459,0.8983739837398372,0.9146341463414634,0.8926829268292682,0.9049180327868853,XGBoost,5
1.0,1.0,1.0,1.0,1.0,MLP,1
1.0,1.0,1.0,1.0,1.0,MLP,2
0.9836065573770492,0.9634146341463414,0.975609756097561,0.9674796747967479,0.9781420765027323,MLP,3
1.0,1.0,1.0,1.0,1.0,MLP,4
1.0,1.0,1.0,1.0,1.0,MLP,5
