Evaluation,Model,Accuracy_Mean,Accuracy_Std,Precision_Macro_Mean,Precision_Macro_Std,Recall_Macro_Mean,Recall_Macro_Std,F1_Macro_Mean,F1_Macro_Std,F1_Weighted_Mean,F1_Weighted_Std,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted
5-Fold CV (primary),Logistic Regression,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,
5-Fold CV (primary),MLP,0.99672131147541,0.007331370418032,0.9926829268292682,0.016361473006096,0.9951219512195122,0.0109076486707306,0.9934959349593496,0.0145435315609742,0.9956284153005464,0.0097751605573761,,,,,
5-Fold CV (primary),Random Forest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,
5-Fold CV (primary),SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,
5-Fold CV (primary),XGBoost,0.9475409836065574,0.0315334164945431,0.930081300813008,0.0447523868114565,0.9414634146341464,0.0359704419603722,0.9284552845528454,0.0442212154584469,0.939344262295082,0.0365099302480656,,,,,
Held-Out Split (deployment artifact),Logistic Regression,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Held-Out Split (deployment artifact),SVM,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Held-Out Split (deployment artifact),Random Forest,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Held-Out Split (deployment artifact),XGBoost,,,,,,,,,,,0.9347826086956522,0.9227642276422764,0.9390243902439024,0.9252032520325204,0.917391304347826
Held-Out Split (deployment artifact),MLP,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
,Proposed Ensemble (Soft-Voting (RF+XGB)),,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
