prognosis,Total_Unique_Patterns,Train,Validation,Test
(vertigo) Paroymsal  Positional Vertigo,7,5,1,1
AIDS,5,3,1,1
Acne,5,3,1,1
Alcoholic hepatitis,8,6,1,1
Allergy,5,3,1,1
Arthritis,6,4,1,1
Bronchial Asthma,7,5,1,1
Cervical spondylosis,6,4,1,1
Chicken pox,10,7,1,2
Chronic cholestasis,8,6,1,1
Common Cold,9,7,1,1
Dengue,10,7,1,2
Diabetes ,9,7,1,1
Dimorphic hemmorhoids(piles),6,4,1,1
Drug Reaction,6,4,1,1
Fungal infection,6,4,1,1
GERD,7,5,1,1
Gastroenteritis,5,3,1,1
Heart attack,5,3,1,1
Hepatitis B,9,6,1,2
Hepatitis C,7,5,1,1
Hepatitis D,10,6,2,2
Hepatitis E,9,7,1,1
Hypertension ,6,4,1,1
Hyperthyroidism,9,6,2,1
Hypoglycemia,9,6,2,1
Hypothyroidism,8,6,1,1
Impetigo,6,4,1,1
Jaundice,9,7,1,1
Malaria,8,6,1,1
Migraine,10,7,1,2
Osteoarthristis,7,5,1,1
Paralysis (brain hemorrhage),5,3,1,1
Peptic ulcer diseae,7,5,1,1
Pneumonia,9,6,2,1
Psoriasis,7,5,1,1
Tuberculosis,9,7,1,1
Typhoid,9,6,2,1
Urinary tract infection,5,3,1,1
Varicose veins,8,6,1,1
hepatitis A,9,7,1,1
